epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3008.29,1.2547,1.55118,1.19363,0.78758,0.55111,0.62563,0.44808,0.84506,0.80393,0.96743,0.005842,0.005842,0.005842
44,3077.85,1.24869,1.53812,1.19145,0.78978,0.55422,0.62797,0.44942,0.84214,0.79892,0.96579,0.005743,0.005743,0.005743
45,3147.29,1.25046,1.53885,1.189,0.78478,0.55851,0.62869,0.45126,0.83948,0.79549,0.96403,0.005644,0.005644,0.005644
46,3216.84,1.24588,1.5356,1.18386,0.78383,0.55819,0.62996,0.45208,0.83869,0.79348,0.96341,0.005545,0.005545,0.005545
47,3286.34,1.24027,1.51896,1.18854,0.78217,0.55921,0.63086,0.45285,0.8373,0.79,0.9626,0.005446,0.005446,0.005446
48,3355.93,1.23851,1.53557,1.19071,0.77973,0.56155,0.63157,0.45361,0.83629,0.78828,0.96278,0.005347,0.005347,0.005347
49,3425.5,1.23698,1.53149,1.18444,0.7847,0.55999,0.63383,0.45481,0.83445,0.7873,0.96183,0.005248,0.005248,0.005248
50,3494.94,1.2386,1.5139,1.18433,0.7862,0.5617,0.63417,0.45506,0.83238,0.78585,0.96108,0.005149,0.005149,0.005149
51,3564.59,1.22186,1.50223,1.17586,0.78426,0.56264,0.63472,0.45619,0.83012,0.7833,0.96039,0.00505,0.00505,0.00505
52,3634.18,1.21714,1.51101,1.17596,0.78875,0.5631,0.6355,0.45741,0.82811,0.78058,0.95936,0.004951,0.004951,0.004951
53,3703.78,1.21722,1.50006,1.17543,0.78706,0.56555,0.63649,0.45736,0.82595,0.77761,0.9581,0.004852,0.004852,0.004852
54,3773.35,1.20944,1.49284,1.17162,0.78736,0.56599,0.63666,0.45806,0.82291,0.77553,0.95687,0.004753,0.004753,0.004753
55,3842.95,1.21265,1.5068,1.17957,0.79088,0.56512,0.638,0.45894,0.81995,0.77413,0.95546,0.004654,0.004654,0.004654
56,3912.53,1.21229,1.497,1.17689,0.78799,0.56497,0.63778,0.4597,0.81875,0.77309,0.95505,0.004555,0.004555,0.004555
57,3982.13,1.21104,1.49714,1.17637,0.78966,0.56451,0.63886,0.46101,0.81751,0.77162,0.95482,0.004456,0.004456,0.004456
58,4051.72,1.19723,1.48571,1.16802,0.79052,0.56388,0.64005,0.46186,0.81569,0.77013,0.95433,0.004357,0.004357,0.004357
59,4121.23,1.19585,1.47451,1.16162,0.79468,0.56248,0.64022,0.46204,0.81479,0.76928,0.95375,0.004258,0.004258,0.004258
60,4190.83,1.19325,1.47328,1.16444,0.79519,0.56279,0.64054,0.46267,0.81353,0.76845,0.95341,0.004159,0.004159,0.004159
61,4260.41,1.18988,1.4757,1.16442,0.79439,0.56286,0.64037,0.46277,0.81296,0.76763,0.95314,0.00406,0.00406,0.00406
62,4329.96,1.18301,1.46173,1.15797,0.79811,0.56237,0.64099,0.46368,0.81149,0.76661,0.95273,0.003961,0.003961,0.003961
63,4399.5,1.17702,1.46031,1.16033,0.79805,0.56295,0.64151,0.46399,0.81046,0.76568,0.95237,0.003862,0.003862,0.003862
64,4469.02,1.17697,1.45468,1.16098,0.79736,0.56343,0.64186,0.46452,0.81003,0.76462,0.95235,0.003763,0.003763,0.003763
65,4538.6,1.17487,1.44991,1.15745,0.80051,0.56342,0.64274,0.46478,0.80937,0.76469,0.95223,0.003664,0.003664,0.003664
66,4608.03,1.17313,1.4548,1.15694,0.79653,0.56513,0.6434,0.46498,0.80866,0.76425,0.95189,0.003565,0.003565,0.003565
67,4677.63,1.16587,1.43993,1.15733,0.79578,0.56435,0.64404,0.46556,0.80767,0.76329,0.95143,0.003466,0.003466,0.003466
68,4747.12,1.1567,1.43826,1.14943,0.79943,0.56357,0.6441,0.46576,0.80703,0.76312,0.95138,0.003367,0.003367,0.003367
69,4816.66,1.15381,1.41528,1.14244,0.80141,0.56277,0.64429,0.46583,0.80637,0.76231,0.95137,0.003268,0.003268,0.003268
70,4886.19,1.14533,1.41744,1.14164,0.79788,0.56463,0.64492,0.46656,0.80543,0.76187,0.95104,0.003169,0.003169,0.003169
71,4955.71,1.14284,1.40038,1.14293,0.80036,0.56295,0.64557,0.46625,0.80464,0.76211,0.95083,0.00307,0.00307,0.00307
72,5025.2,1.14339,1.41947,1.14357,0.80033,0.56333,0.64597,0.467,0.80404,0.7621,0.95072,0.002971,0.002971,0.002971
73,5094.66,1.12749,1.40273,1.13827,0.79376,0.56762,0.64641,0.46779,0.80314,0.7625,0.95056,0.002872,0.002872,0.002872
74,5164.19,1.12768,1.39675,1.13951,0.79404,0.56778,0.64697,0.46809,0.80258,0.76306,0.95042,0.002773,0.002773,0.002773
75,5233.63,1.12462,1.3991,1.13759,0.79471,0.5676,0.64746,0.46851,0.80147,0.76354,0.95013,0.002674,0.002674,0.002674
76,5303.08,1.11506,1.39296,1.12788,0.79161,0.56949,0.64812,0.46873,0.80058,0.76429,0.95003,0.002575,0.002575,0.002575
77,5372.53,1.10696,1.3749,1.12684,0.79749,0.567,0.64838,0.46899,0.79979,0.76508,0.94995,0.002476,0.002476,0.002476
78,5441.89,1.10339,1.36879,1.12436,0.80013,0.56591,0.64873,0.46958,0.79931,0.76612,0.95016,0.002377,0.002377,0.002377
79,5511.22,1.09466,1.36294,1.12349,0.7998,0.56458,0.6486,0.46953,0.79884,0.76725,0.95021,0.002278,0.002278,0.002278
80,5580.56,1.09608,1.36034,1.12466,0.80006,0.56482,0.64906,0.4699,0.79749,0.76852,0.94996,0.002179,0.002179,0.002179
81,5649.91,1.08676,1.35809,1.12205,0.80005,0.56484,0.64884,0.47021,0.79654,0.77011,0.94969,0.00208,0.00208,0.00208
82,5719.28,1.08066,1.35082,1.11628,0.79905,0.56441,0.64988,0.47051,0.79577,0.77221,0.94968,0.001981,0.001981,0.001981
83,5788.54,1.07033,1.33142,1.11315,0.79804,0.56497,0.65006,0.47053,0.795,0.77513,0.94955,0.001882,0.001882,0.001882
84,5857.87,1.05978,1.3256,1.10935,0.79604,0.56684,0.65058,0.47085,0.79414,0.77724,0.94941,0.001783,0.001783,0.001783
85,5927.18,1.05861,1.31562,1.10937,0.79433,0.56687,0.65069,0.47055,0.79319,0.78061,0.9494,0.001684,0.001684,0.001684
86,5996.39,1.05091,1.31275,1.10575,0.79705,0.56497,0.65085,0.47074,0.79241,0.78399,0.94937,0.001585,0.001585,0.001585
87,6065.62,1.03864,1.30308,1.1007,0.79381,0.56591,0.65059,0.47064,0.79126,0.78756,0.94898,0.001486,0.001486,0.001486
88,6134.8,1.03441,1.29197,1.10032,0.79251,0.56622,0.65058,0.47075,0.79039,0.79169,0.94908,0.001387,0.001387,0.001387
89,6203.98,1.03116,1.28474,1.09692,0.79746,0.56255,0.6502,0.47048,0.78961,0.79641,0.94931,0.001288,0.001288,0.001288
90,6273.04,1.01207,1.26821,1.08981,0.79647,0.56186,0.64972,0.47013,0.78934,0.80165,0.94965,0.001189,0.001189,0.001189
91,6345.13,0.89428,0.92078,1.02057,0.7915,0.56252,0.6491,0.46992,0.78857,0.80779,0.94982,0.00109,0.00109,0.00109
92,6413.23,0.87568,0.90512,1.00985,0.78903,0.56279,0.64958,0.47006,0.78775,0.81374,0.95009,0.000991,0.000991,0.000991
93,6480.96,0.86607,0.87899,1.00834,0.78722,0.56342,0.64926,0.4696,0.78686,0.81996,0.95038,0.000892,0.000892,0.000892
94,6548.99,0.85798,0.8682,1.0041,0.78453,0.56221,0.64936,0.46959,0.78605,0.82669,0.95081,0.000793,0.000793,0.000793
