run_id	scout_nms_iou	roi_merge_iou	final_nms_iou	sniper_score_bonus	cfg	json	log
39	0.55	0.25	0.50	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_039_scout0.55_roi0.25_final0.50_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_039_scout0.55_roi0.25_final0.50_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_039_scout0.55_roi0.25_final0.50_bonus0.0.log
40	0.55	0.25	0.50	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_040_scout0.55_roi0.25_final0.50_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_040_scout0.55_roi0.25_final0.50_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_040_scout0.55_roi0.25_final0.50_bonus0.05.log
41	0.55	0.25	0.55	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_041_scout0.55_roi0.25_final0.55_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_041_scout0.55_roi0.25_final0.55_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_041_scout0.55_roi0.25_final0.55_bonus0.0.log
42	0.55	0.25	0.55	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_042_scout0.55_roi0.25_final0.55_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_042_scout0.55_roi0.25_final0.55_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_042_scout0.55_roi0.25_final0.55_bonus0.05.log
43	0.55	0.30	0.45	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_043_scout0.55_roi0.30_final0.45_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_043_scout0.55_roi0.30_final0.45_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_043_scout0.55_roi0.30_final0.45_bonus0.0.log
44	0.55	0.30	0.45	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_044_scout0.55_roi0.30_final0.45_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_044_scout0.55_roi0.30_final0.45_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_044_scout0.55_roi0.30_final0.45_bonus0.05.log
45	0.55	0.30	0.50	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_045_scout0.55_roi0.30_final0.50_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_045_scout0.55_roi0.30_final0.50_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_045_scout0.55_roi0.30_final0.50_bonus0.0.log
46	0.55	0.30	0.50	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_046_scout0.55_roi0.30_final0.50_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_046_scout0.55_roi0.30_final0.50_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_046_scout0.55_roi0.30_final0.50_bonus0.05.log
47	0.55	0.30	0.55	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_047_scout0.55_roi0.30_final0.55_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_047_scout0.55_roi0.30_final0.55_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_047_scout0.55_roi0.30_final0.55_bonus0.0.log
48	0.55	0.30	0.55	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_048_scout0.55_roi0.30_final0.55_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_048_scout0.55_roi0.30_final0.55_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_048_scout0.55_roi0.30_final0.55_bonus0.05.log
49	0.55	0.35	0.45	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_049_scout0.55_roi0.35_final0.45_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_049_scout0.55_roi0.35_final0.45_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_049_scout0.55_roi0.35_final0.45_bonus0.0.log
50	0.55	0.35	0.45	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_050_scout0.55_roi0.35_final0.45_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_050_scout0.55_roi0.35_final0.45_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_050_scout0.55_roi0.35_final0.45_bonus0.05.log
51	0.55	0.35	0.50	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_051_scout0.55_roi0.35_final0.50_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_051_scout0.55_roi0.35_final0.50_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_051_scout0.55_roi0.35_final0.50_bonus0.0.log
52	0.55	0.35	0.50	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_052_scout0.55_roi0.35_final0.50_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_052_scout0.55_roi0.35_final0.50_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_052_scout0.55_roi0.35_final0.50_bonus0.05.log
53	0.55	0.35	0.55	0.0	configs/experiment/arch4_sr_sniper_nms_overnight/run_053_scout0.55_roi0.35_final0.55_bonus0.0.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_053_scout0.55_roi0.35_final0.55_bonus0.0.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_053_scout0.55_roi0.35_final0.55_bonus0.0.log
54	0.55	0.35	0.55	0.05	configs/experiment/arch4_sr_sniper_nms_overnight/run_054_scout0.55_roi0.35_final0.55_bonus0.05.yaml	iac_runs/arch4_sr_sniper_nms_overnight/results/run_054_scout0.55_roi0.35_final0.55_bonus0.05.json	iac_runs/arch4_sr_sniper_nms_overnight/logs/run_054_scout0.55_roi0.35_final0.55_bonus0.05.log
