job_name	precision	recall	map50	map5095	tp50	fp50	fn50	precision50_direct	recall50_direct	avg_ms_per_image	fps	power_source	avg_power_mw	max_power_mw	energy_per_image_j	summary_json
arch0	None	None	None	None	None	None	None	None	None	95.18501607999893	10.505855240488092	VDD_IN	9502.076923076924	11372.0	0.9044553447164638	/home/octolab/dark_vessel_sr_yolo/jetson_runs/jetson_ftsniper_run1/logs/arch0.summary.json
arch2	None	None	None	None	None	None	None	None	None	104.6882449699922	9.552170831468612	VDD_IN	9342.23076923077	11984.0	0.9780217433354293	/home/octolab/dark_vessel_sr_yolo/jetson_runs/jetson_ftsniper_run1/logs/arch2.summary.json
arch4	0.7390137314796448	0.6410256624221802	0.6843966841697693	0.5310758352279663	27	25	12	0.5192307692307693	0.6923076923076923	82.98642611499986	None	VDD_IN	7027.125	8094.0	0.5831559896133683	/home/octolab/dark_vessel_sr_yolo/jetson_runs/jetson_ftsniper_run1/logs/arch4.summary.json
