epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2044.2,1.32916,1.63265,1.21447,0.76059,0.52633,0.59487,0.41543,0.92348,0.89244,0.99242,0.005743,0.005743,0.005743
45,2090.88,1.33446,1.64022,1.21584,0.76521,0.52727,0.59486,0.41617,0.91937,0.88612,0.99034,0.005644,0.005644,0.005644
46,2137.06,1.32341,1.62911,1.2129,0.76014,0.53033,0.59516,0.41778,0.918,0.88211,0.99052,0.005545,0.005545,0.005545
47,2182.97,1.31623,1.61724,1.2111,0.75917,0.53116,0.59629,0.41874,0.9187,0.88004,0.99072,0.005446,0.005446,0.005446
48,2229.25,1.31621,1.63487,1.21527,0.76023,0.53157,0.59704,0.41956,0.91701,0.87801,0.99053,0.005347,0.005347,0.005347
49,2275.22,1.31869,1.62326,1.20946,0.75821,0.53319,0.5979,0.41997,0.91508,0.87667,0.98975,0.005248,0.005248,0.005248
50,2321.26,1.31699,1.61231,1.2057,0.76136,0.53023,0.59858,0.42053,0.91327,0.87428,0.98878,0.005149,0.005149,0.005149
51,2367.02,1.30026,1.59826,1.20065,0.76692,0.52914,0.59946,0.42114,0.91242,0.8715,0.98835,0.00505,0.00505,0.00505
52,2412.96,1.29642,1.60404,1.20163,0.77058,0.52914,0.60051,0.42207,0.91058,0.86838,0.98762,0.004951,0.004951,0.004951
53,2458.94,1.29207,1.59831,1.19924,0.7686,0.53098,0.60117,0.42245,0.90953,0.86613,0.98753,0.004852,0.004852,0.004852
54,2504.79,1.28857,1.58629,1.19463,0.76082,0.5343,0.60168,0.42235,0.90685,0.86566,0.98612,0.004753,0.004753,0.004753
55,2550.9,1.29072,1.6032,1.19931,0.76207,0.5345,0.60253,0.42303,0.90447,0.86337,0.98489,0.004654,0.004654,0.004654
56,2596.71,1.28482,1.59011,1.19773,0.76657,0.5352,0.60306,0.42321,0.90307,0.86324,0.98432,0.004555,0.004555,0.004555
57,2642.97,1.29627,1.59586,1.19972,0.76722,0.53561,0.60366,0.42343,0.90194,0.86285,0.98348,0.004456,0.004456,0.004456
58,2688.32,1.27741,1.58429,1.19265,0.76922,0.53553,0.60472,0.42426,0.90045,0.86178,0.98297,0.004357,0.004357,0.004357
59,2734.17,1.27574,1.57304,1.18795,0.76731,0.5359,0.60419,0.42431,0.89985,0.86152,0.98289,0.004258,0.004258,0.004258
60,2780.06,1.27304,1.56872,1.18969,0.77032,0.53677,0.60471,0.42489,0.89896,0.86056,0.9825,0.004159,0.004159,0.004159
61,2826.1,1.26575,1.56422,1.18546,0.7683,0.53693,0.60506,0.42511,0.89835,0.85995,0.98209,0.00406,0.00406,0.00406
62,2871.99,1.26724,1.56131,1.18635,0.76904,0.53662,0.60542,0.42491,0.8976,0.85985,0.98158,0.003961,0.003961,0.003961
63,2917.91,1.26127,1.55539,1.18199,0.7721,0.53473,0.60563,0.42511,0.89713,0.85967,0.98119,0.003862,0.003862,0.003862
64,2963.76,1.25884,1.55342,1.18387,0.77118,0.53521,0.60606,0.42556,0.89636,0.85868,0.98069,0.003763,0.003763,0.003763
65,3009.19,1.25437,1.5519,1.18236,0.77498,0.53443,0.60653,0.426,0.89567,0.85849,0.98068,0.003664,0.003664,0.003664
66,3055.23,1.25975,1.55314,1.18522,0.77501,0.53475,0.60668,0.42625,0.89498,0.85754,0.98015,0.003565,0.003565,0.003565
